"","UserID","ProblemID","overalGradeDiff","countOfSubmissions","totalTime","totalVideoTime","countOfVideoEvents","countOfForumEvents","countOfThreadViews","VideoPerSubmission","ForumPerSubmission","VideoTimePerSubmission","ThreadViewPerSubmission"
"92","034a58807553a3a5a742987370350bae",9,25,3,120,0,0,0,0,0,0,0,0
"93","034a58807553a3a5a742987370350bae",11,66.6666666666667,6,731,0,0,0,0,0,0,0,0
"94","034a58807553a3a5a742987370350bae",14,34.6666666666667,5,1410,0,0,0,0,0,0,0,0
"95","03568135cf209d1323cb1aca0bfd6e57",1,-55,6,4473,0,0,0,0,0,0,0,0
"96","03568135cf209d1323cb1aca0bfd6e57",2,100,13,8698,0,0,0,0,0,0,0,0
"97","03568135cf209d1323cb1aca0bfd6e57",4,25,3,233,0,0,0,0,0,0,0,0
"98","03568135cf209d1323cb1aca0bfd6e57",7,100,2,712,0,0,0,0,0,0,0,0
"99","03568135cf209d1323cb1aca0bfd6e57",8,12.5,4,21775,0,0,0,0,0,0,0,0
"100","036649f8782c17020d9596ba1d087bdb",0,11.1111640930176,2,87,0,0,0,0,0,0,0,0
"101","038f52351c49d0c1bf96065dc3cbc460",4,95,4,1983,0,0,0,0,0,0,0,0
"102","038f52351c49d0c1bf96065dc3cbc460",7,0,3,90589,0,0,0,0,0,0,0,0
"103","038f52351c49d0c1bf96065dc3cbc460",9,2.5,2,1335,0,0,0,0,0,0,0,0
"104","038f52351c49d0c1bf96065dc3cbc460",11,0,2,747,0,0,0,0,0,0,0,0
"105","038f52351c49d0c1bf96065dc3cbc460",14,66.6666666666667,14,4664,0,0,0,0,0,0,0,0
"106","038f52351c49d0c1bf96065dc3cbc460",15,20,2,176,0,0,0,0,0,0,0,0
"107","03a2b019ce2a8d876ccd261d4dfb5c4c",1,100,14,1086603,255096,97,18,6,6.92857142857143,1.28571428571429,18221.1428571429,0.428571428571429
"108","03a2b019ce2a8d876ccd261d4dfb5c4c",2,100,3,181,0,0,0,0,0,0,0,0
"109","03a2b019ce2a8d876ccd261d4dfb5c4c",3,0,2,300,0,0,0,0,0,0,0,0
"110","03a2b019ce2a8d876ccd261d4dfb5c4c",4,100,16,4335,0,0,1,0,0,0.0625,0,0
"111","03a2b019ce2a8d876ccd261d4dfb5c4c",5,44.4444444444444,5,362589,9328,65,5,1,13,1,1865.6,0.2
"112","03a2b019ce2a8d876ccd261d4dfb5c4c",6,28.125,2,895,0,0,0,0,0,0,0,0
"113","03a2b019ce2a8d876ccd261d4dfb5c4c",7,100,9,17017,0,0,0,0,0,0,0,0
"114","03a2b019ce2a8d876ccd261d4dfb5c4c",8,0,3,225285,1951,22,0,0,7.33333333333333,0,650.333333333333,0
"115","03a2b019ce2a8d876ccd261d4dfb5c4c",9,75,5,2475,0,0,2,1,0,0.4,0,0.2
"116","03a2b019ce2a8d876ccd261d4dfb5c4c",11,100,13,264267,0,0,12,4,0,0.923076923076923,0,0.307692307692308
"117","03a2b019ce2a8d876ccd261d4dfb5c4c",14,66.6666666666667,3,547,0,0,0,0,0,0,0,0
"118","03d7c2917c0a409c1162191eb04d2f31",1,12.5,2,77,0,0,0,0,0,0,0,0
"119","03d7c2917c0a409c1162191eb04d2f31",2,25,3,174,0,0,0,0,0,0,0,0
"120","03d7c2917c0a409c1162191eb04d2f31",6,12.5,2,282,0,0,0,0,0,0,0,0
"121","03d7c2917c0a409c1162191eb04d2f31",9,25,2,1246,0,0,0,0,0,0,0,0
"122","03d7c2917c0a409c1162191eb04d2f31",11,33.3333333333333,5,2126,0,0,9,3,0,1.8,0,0.6
"123","03d7c2917c0a409c1162191eb04d2f31",14,6.66666666666667,2,44,0,0,0,0,0,0,0,0
"124","03d7c2917c0a409c1162191eb04d2f31",15,100,3,330,0,0,2,0,0,0.666666666666667,0,0
"125","043a49d163e8f3b0ff5eb7e8bc6fd799",0,50,2,150,0,0,0,0,0,0,0,0
"126","0482379560c23330e4d876d28957165a",1,15,7,1151,0,0,15,7,0,2.14285714285714,0,1
"127","0482379560c23330e4d876d28957165a",4,100,15,3986,0,0,17,12,0,1.13333333333333,0,0.8
"128","0482379560c23330e4d876d28957165a",5,100,9,3589,0,0,14,12,0,1.55555555555556,0,1.33333333333333
"129","0482379560c23330e4d876d28957165a",7,100,7,1156,0,0,0,0,0,0,0,0
"130","0482379560c23330e4d876d28957165a",8,100,9,33143,0,0,29,14,0,3.22222222222222,0,1.55555555555556
"131","0482379560c23330e4d876d28957165a",9,12.5,8,49123,0,0,9,8,0,1.125,0,1
"132","0482379560c23330e4d876d28957165a",11,100,10,1542,0,0,1,1,0,0.1,0,0.1
"133","0482379560c23330e4d876d28957165a",14,53.3333333333333,14,4587,0,0,6,6,0,0.428571428571429,0,0.428571428571429
"134","0482379560c23330e4d876d28957165a",15,100,12,78774,0,0,85,40,0,7.08333333333333,0,3.33333333333333
"135","0558f090a31a1faf32dd12cba078ad12",4,25,2,564,0,0,0,0,0,0,0,0
"136","0558f090a31a1faf32dd12cba078ad12",5,13.3333333333333,3,15254,0,0,0,0,0,0,0,0
"137","0558f090a31a1faf32dd12cba078ad12",7,100,8,2428,0,0,0,0,0,0,0,0
"138","0558f090a31a1faf32dd12cba078ad12",9,25,5,2173,0,0,0,0,0,0,0,0
"139","0558f090a31a1faf32dd12cba078ad12",11,0,2,158,0,0,0,0,0,0,0,0
"140","055d826d2d0d671a5669178d21cd981e",2,0,2,951079,17731,6,0,0,3,0,8865.5,0
"141","055d826d2d0d671a5669178d21cd981e",4,100,8,1613,0,0,0,0,0,0,0,0
"142","064fd12354d3c3041975bf46510a065c",1,100,4,756,0,0,0,0,0,0,0,0
"143","064fd12354d3c3041975bf46510a065c",2,100,4,888,0,0,4,2,0,1,0,0.5
"144","064fd12354d3c3041975bf46510a065c",4,100,2,194,0,0,0,0,0,0,0,0
"145","064fd12354d3c3041975bf46510a065c",5,2.22222222222223,2,73,0,0,0,0,0,0,0,0
"146","064fd12354d3c3041975bf46510a065c",7,100,4,989,0,0,2,1,0,0.5,0,0.25
"147","064fd12354d3c3041975bf46510a065c",8,12.5,4,411,0,0,0,0,0,0,0,0
"148","069006e5a76609c666740215f059de22",1,100,5,10933,0,0,2,1,0,0.4,0,0.2
"149","069006e5a76609c666740215f059de22",2,25,3,346,0,0,0,0,0,0,0,0
"150","069006e5a76609c666740215f059de22",4,75,15,3352,0,0,0,0,0,0,0,0
"151","069006e5a76609c666740215f059de22",5,44.4444444444444,16,153638,0,0,0,0,0,0,0,0
"152","069006e5a76609c666740215f059de22",7,100,6,7737,0,0,0,0,0,0,0,0
"153","069006e5a76609c666740215f059de22",8,25,5,17691,0,0,0,0,0,0,0,0
"154","069006e5a76609c666740215f059de22",11,77.7777777777778,9,421506,2558,9,36,19,1,4,284.222222222222,2.11111111111111
"155","069006e5a76609c666740215f059de22",14,40,11,11034,0,0,0,0,0,0,0,0
"156","069006e5a76609c666740215f059de22",15,0,6,3186,0,0,7,3,0,1.16666666666667,0,0.5
"157","06c0a7475c259ebe82516cde7e0fc1b5",1,75,3,13373,33,7,19,4,2.33333333333333,6.33333333333333,11,1.33333333333333
"158","06c0a7475c259ebe82516cde7e0fc1b5",2,45,10,275384,2145,41,51,14,4.1,5.1,214.5,1.4
"159","06c0a7475c259ebe82516cde7e0fc1b5",3,20.8333333333333,2,497,0,0,0,0,0,0,0,0
"160","06ec70304005d72422672d5e093475f3",2,75,12,6351,0,0,0,0,0,0,0,0
"161","06ec70304005d72422672d5e093475f3",4,75,11,1012411,135146,44,13,4,4,1.18181818181818,12286,0.363636363636364
"162","06ec70304005d72422672d5e093475f3",5,88.8888888888889,26,174367,0,0,8,2,0,0.307692307692308,0,0.0769230769230769
"163","06ec70304005d72422672d5e093475f3",7,100,12,1293697,82570,38,12,1,3.16666666666667,1,6880.83333333333,0.0833333333333333
"164","06ec70304005d72422672d5e093475f3",8,50,9,765284,82570,38,9,0,4.22222222222222,1,9174.44444444445,0
"165","06ec70304005d72422672d5e093475f3",9,100,18,415746,0,0,5,0,0,0.277777777777778,0,0
"166","06ec70304005d72422672d5e093475f3",11,100,7,67124,0,0,1,0,0,0.142857142857143,0,0
"167","06ec70304005d72422672d5e093475f3",14,73.3333333333333,24,688649,0,0,11,5,0,0.458333333333333,0,0.208333333333333
"168","06ec70304005d72422672d5e093475f3",15,20,13,102236,0,0,10,5,0,0.769230769230769,0,0.384615384615385
"169","070a69a5072860e6c63ec2979bc6d9a1",2,45,4,847,0,0,0,0,0,0,0,0
"170","079d31e825c1154484dc80b328aef524",4,100,4,575,0,0,0,0,0,0,0,0
"171","07ac54c45bd3ca5b3d0d76fd40e33730",4,25,2,111,0,0,0,0,0,0,0,0
"172","07ac54c45bd3ca5b3d0d76fd40e33730",5,100,3,20957,0,0,0,0,0,0,0,0
"173","07c8726a4fd19ef03877aa9d1a771e3a",1,0,12,43232,0,0,4,2,0,0.333333333333333,0,0.166666666666667
"174","07c8726a4fd19ef03877aa9d1a771e3a",2,25,2,441,0,0,0,0,0,0,0,0
"175","07c8726a4fd19ef03877aa9d1a771e3a",7,100,11,5245,0,0,0,0,0,0,0,0
"176","07dd807378e9843022ba4157c1da5435",0,16.6666666666667,4,559,0,0,0,0,0,0,0,0
"177","07dd807378e9843022ba4157c1da5435",3,45.8333333333333,4,57789,0,0,0,0,0,0,0,0
"178","07f91ac1ff0768b643e34be4d92eac46",1,12.5,2,254,0,0,0,0,0,0,0,0
"179","07f91ac1ff0768b643e34be4d92eac46",2,50,3,615,0,0,0,0,0,0,0,0
"180","07f91ac1ff0768b643e34be4d92eac46",4,100,5,2370,0,0,24,12,0,4.8,0,2.4
"181","07f91ac1ff0768b643e34be4d92eac46",7,100,5,53835,0,0,6,3,0,1.2,0,0.6
